date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:56:29	143249/143249	---M--	200	added ('OK')	application/javascript	etag:%226465dd4a8331265e6629cd069e03504c%22	http://s3.amazonaws.com/downloads.mailchimp.com/js/mc-validate.js	C:/My%20Web%20Sites/tawio/s3.amazonaws.com/downloads.mailchimp.com/js/mc-validate.js	(from https://manta.network/?utm_source=icodrops)
04:56:30	337361/337361	---M--	200	added ('OK')	image/png	etag:%2265c335f6-525d1%22	https://manta.network/assets/img/events/event-4-image.png	C:/My%20Web%20Sites/tawio/manta.network/assets/img/events/event-4-image.png	(from https://manta.network/?utm_source=icodrops)
04:56:30	795997/795997	---M--	200	added ('OK')	image/png	etag:%2265c335f6-c255d%22	https://manta.network/assets/img/events/event-5-image.png	C:/My%20Web%20Sites/tawio/manta.network/assets/img/events/event-5-image.png	(from https://manta.network/?utm_source=icodrops)
04:56:30	853/853	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2265c335f6-355%22	https://manta.network/assets/img/socials/medium-white-icon.svg	C:/My%20Web%20Sites/tawio/manta.network/assets/img/socials/medium-white-icon.svg	(from https://manta.network/?utm_source=icodrops)
04:56:30	2928/2928	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2265c335f6-b70%22	https://manta.network/assets/img/manta.svg	C:/My%20Web%20Sites/tawio/manta.network/assets/img/manta.svg	(from https://manta.network/?utm_source=icodrops)
04:56:31	15648/15648	---M--	200	added ('OK')	image/png	etag:%2265c335f6-3d20%22	https://manta.network/assets/img/beat.png	C:/My%20Web%20Sites/tawio/manta.network/assets/img/beat.png	(from https://manta.network/?utm_source=icodrops)
04:56:31	3027/3027	---M--	200	added ('OK')	image/png	etag:%2265c335f6-bd3%22	https://manta.network/assets/img/dune.png	C:/My%20Web%20Sites/tawio/manta.network/assets/img/dune.png	(from https://manta.network/?utm_source=icodrops)
04:56:32	15391/15391	---M--	200	added ('OK')	image/png	etag:%2265c335f6-3c1f%22	https://manta.network/assets/img/web3-go.png	C:/My%20Web%20Sites/tawio/manta.network/assets/img/web3-go.png	(from https://manta.network/?utm_source=icodrops)
04:56:32	24687/24687	---M--	200	added ('OK')	image/png	etag:%2265c335f6-606f%22	https://manta.network/assets/img/defil-llama.png	C:/My%20Web%20Sites/tawio/manta.network/assets/img/defil-llama.png	(from https://manta.network/?utm_source=icodrops)
04:56:32	12978/12978	---M--	200	added ('OK')	image/png	etag:%2265c335f6-32b2%22	https://manta.network/assets/img/DEXScreener.png	C:/My%20Web%20Sites/tawio/manta.network/assets/img/DEXScreener.png	(from https://manta.network/?utm_source=icodrops)
04:56:32	6351/6351	---M--	200	added ('OK')	image/png	etag:%2265c335f6-18cf%22	https://manta.network/assets/img/tokenterminal.png	C:/My%20Web%20Sites/tawio/manta.network/assets/img/tokenterminal.png	(from https://manta.network/?utm_source=icodrops)
04:56:40	78468/78468	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213284-9SIQN5l0SWUU4krrB+y27yWQY/Y%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.0/dist/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/tawio/cdn.jsdelivr.net/npm/bootstrap@5.1.0/dist/js/bootstrap.bundle.min.js	(from https://manta.network/?utm_source=icodrops)
04:56:41	52/52	---MCZ	302	error ('Found')	text/plain	date:Sun,%2018%20Feb%202024%2012:56:45%20GMT	https://unpkg.com/axios/dist/axios.min.js	C:/My%20Web%20Sites/tawio/unpkg.com/axios/dist/axios.min.4c.delayed	(from https://manta.network/?utm_source=icodrops)
